id,yL,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32
1.0,1.0,49.856,118.8,1.0,0.0,0.0,0.0,0.0,16.32096,0.0,18.762237,6.162105,9.39728,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.9709,0.0003,6.0,6.0,24.7138,0.0,0.0,7.0,0.056546400000000004,0.1128597
2.0,1.0,71.836,34.8,0.0,0.0,0.0,0.0,1.0,15.00535,44.0,119.94679,7.381653999999999,10.4237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2999,0.0001,0.42,0.0,8.0,4.0,38.0658,0.0,0.0,7.0,0.6552600000000001,0.8869081
3.0,1.0,66.725,41.8,0.0,1.0,0.0,0.0,0.0,17.07023,27.0,10.879595,7.85423,12.9768,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0051,0.0,0.965,0.0,6.0,6.0,48.3807,0.0,1.0,4.0,0.067855,0.1339441
4.0,0.0,41.696000000000005,132.0,0.0,0.0,1.0,0.0,0.0,16.3146,0.0,9.7629269,7.545124,30.4279,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9289,0.0,0.0091,0.0001,6.0,4.0,59.841,0.0,0.0,7.0,0.1332304,0.260102
5.0,1.0,71.351,24.2,1.0,0.0,0.0,0.0,0.0,11.1079,31.0,151.58182,9.20704,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.8028,0.0,0.0051,0.0,5.0,7.0,175.925,0.0,0.0,3.0,0.3185837,0.6277294
6.0,1.0,71.565,25.4,0.0,0.0,0.0,1.0,0.0,17.30379,38.0,11.959608,8.215269000000001,3.3778300000000003,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9059999999999999,0.0191,0.0,0.0,5.0,7.0,14.9909,1.0,0.0,1.0,0.17318920000000002,0.330825
7.0,1.0,67.87899999999999,42.3,0.0,0.0,0.0,0.0,1.0,15.079120000000001,31.0,124.27696,7.091951,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8748,0.0002,0.0022,0.0001,7.0,3.0,81.3357,0.0,0.0,5.0,0.21966479999999997,0.43610129999999997
8.0,0.0,76.99463399999999,7.6,1.0,0.0,0.0,0.0,0.0,16.65255,45.0,2.2213529999999997,10.1866,3.26591,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.8239,0.0049,0.0094,0.0082,6.0,6.0,31.915,1.0,0.0,1.0,0.2974162,0.5587434
9.0,1.0,75.56829300000001,8.0,0.0,0.0,0.0,0.0,0.0,15.85385,45.0,92.974691,10.2731,0.44764499999999996,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8324,0.0009,0.0204,0.0,8.0,4.0,73.9691,1.0,0.0,1.0,0.2852896,0.5392365
11.0,1.0,70.705,19.6,1.0,0.0,0.0,0.0,0.0,12.454239999999999,31.0,25.607992000000003,9.985868,0.117247,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.8222,0.0016,0.0,0.0,6.0,6.0,110.12,0.0,0.0,2.0,0.2929382,0.5830948
